root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,LB_wheel_yaw_joint,LB_wheel_pitch_joint,RB_wheel_yaw_joint,RB_wheel_pitch_joint,knee_joint,leg_joint,waist_pitch_joint,waist_yaw_joint,zarm_l1_joint,zarm_l2_joint,zarm_l3_joint,zarm_l4_joint,zarm_l5_joint,zarm_l6_joint,zarm_l7_joint,zarm_r1_joint,zarm_r2_joint,zarm_r3_joint,zarm_r4_joint,zarm_r5_joint,zarm_r6_joint,zarm_r7_joint,zhead_1_joint,zhead_2_joint
-2.047215461730957031e+00,-2.220675706863403320e+00,8.282673358917236328e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.279175311326980591e-02,-1.700513170489921511e-14,5.015449598431587219e-02,7.865200191736221313e-02,-8.415547013282775879e-02,1.966621279716491699e-01,-1.246301680803298950e-01,-4.137434065341949463e-01,4.099645465612411499e-02,-6.566861271858215332e-02,-1.829520910978317261e-01,-8.356622606515884399e-02,-1.904481798410415649e-01,-5.917607620358467102e-02,-3.467030525207519531e-01,-1.266066730022430420e-01,1.865841262042522430e-02,-1.101922541856765747e-01,2.167736180126667023e-02,4.390593245625495911e-02
-2.047563314437866211e+00,-2.220914602279663086e+00,8.292540907859802246e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.388154208660125732e-02,-8.507598922222192606e-16,5.124428123235702515e-02,7.641915231943130493e-02,-8.314325660467147827e-02,1.975685805082321167e-01,-1.258141398429870605e-01,-4.156319797039031982e-01,4.149289056658744812e-02,-6.573612987995147705e-02,-1.829755753278732300e-01,-8.314387500286102295e-02,-1.884452253580093384e-01,-6.239841878414154053e-02,-3.473401367664337158e-01,-1.298178285360336304e-01,1.974657364189624786e-02,-1.091347262263298035e-01,2.830302156507968903e-02,4.495978727936744690e-02
-2.047986268997192383e+00,-2.221068143844604492e+00,8.313462734222412109e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.461678028106689453e-02,-4.267351988267165108e-17,5.197951942682266235e-02,7.531590759754180908e-02,-8.193814009428024292e-02,1.984156370162963867e-01,-1.264107227325439453e-01,-4.172322750091552734e-01,4.220876842737197876e-02,-6.586349010467529297e-02,-1.828795224428176880e-01,-8.297858387231826782e-02,-1.875361204147338867e-01,-6.450112164020538330e-02,-3.484307527542114258e-01,-1.319513916969299316e-01,2.057859674096107483e-02,-1.082711517810821533e-01,3.472417220473289490e-02,4.581920430064201355e-02
-2.048147916793823242e+00,-2.221158742904663086e+00,8.338793516159057617e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.519071340560913086e-02,-2.059984127722458425e-18,5.255345255136489868e-02,7.456582784652709961e-02,-8.077900111675262451e-02,1.992397159337997437e-01,-1.264881193637847900e-01,-4.186299741268157959e-01,4.316485673189163208e-02,-6.577177345752716064e-02,-1.828456223011016846e-01,-8.261544257402420044e-02,-1.862774938344955444e-01,-6.630388647317886353e-02,-3.494865000247955322e-01,-1.339919716119766235e-01,2.138516493141651154e-02,-1.074765473604202271e-01,4.013720899820327759e-02,4.642280563712120056e-02
-2.048178672790527344e+00,-2.221348285675048828e+00,8.364614248275756836e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.586093783378601074e-02,-1.524659305057740610e-19,5.322367697954177856e-02,7.369397580623626709e-02,-7.941665500402450562e-02,2.003056854009628296e-01,-1.267534345388412476e-01,-4.196820259094238281e-01,4.378699883818626404e-02,-6.561081111431121826e-02,-1.825543940067291260e-01,-8.211530745029449463e-02,-1.862860769033432007e-01,-6.742426007986068726e-02,-3.507214188575744629e-01,-1.351867467164993286e-01,2.160144969820976257e-02,-1.068517193198204041e-01,4.503252729773521423e-02,4.697176441550254822e-02
-2.047100305557250977e+00,-2.220434188842773438e+00,8.395373225212097168e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.635593950748443604e-02,-1.033380195650246414e-19,5.371867865324020386e-02,7.240851223468780518e-02,-7.777298986911773682e-02,2.018620818853378296e-01,-1.273635327816009521e-01,-4.204189479351043701e-01,4.403876140713691711e-02,-6.529141217470169067e-02,-1.820346266031265259e-01,-8.132963627576828003e-02,-1.865230947732925415e-01,-6.849649548530578613e-02,-3.517993986606597900e-01,-1.360518485307693481e-01,2.154015749692916870e-02,-1.060974821448326111e-01,4.929775372147560120e-02,4.726350307464599609e-02
-2.046233415603637695e+00,-2.220239877700805664e+00,8.423944711685180664e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.697909861803054810e-02,2.541098841762901017e-21,5.434184148907661438e-02,7.128372788429260254e-02,-7.612882554531097412e-02,2.037058174610137939e-01,-1.283498406410217285e-01,-4.213424026966094971e-01,4.425584897398948669e-02,-6.495447456836700439e-02,-1.815023869276046753e-01,-8.016861975193023682e-02,-1.865047812461853027e-01,-6.888665258884429932e-02,-3.526655733585357666e-01,-1.366244107484817505e-01,2.178766578435897827e-02,-1.050595194101333618e-01,5.363599956035614014e-02,4.742792993783950806e-02
-2.045459032058715820e+00,-2.220140457153320312e+00,8.453654050827026367e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.780603855848312378e-02,1.334076891925523034e-19,5.516878142952919006e-02,7.025291025638580322e-02,-7.441019266843795776e-02,2.057949751615524292e-01,-1.293343901634216309e-01,-4.221329391002655029e-01,4.448347538709640503e-02,-6.452644616365432739e-02,-1.810099184513092041e-01,-7.864384353160858154e-02,-1.868087500333786011e-01,-6.881379336118698120e-02,-3.532039821147918701e-01,-1.367908418178558350e-01,2.176669612526893616e-02,-1.038830876350402832e-01,5.758127197623252869e-02,4.755496233701705933e-02
-2.044234991073608398e+00,-2.219812870025634766e+00,8.480162024497985840e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.819372206926345825e-02,-3.578714202149418933e-20,5.555646121501922607e-02,6.904895603656768799e-02,-7.289776206016540527e-02,2.077016979455947876e-01,-1.298008561134338379e-01,-4.228996336460113525e-01,4.475529491901397705e-02,-6.400256603956222534e-02,-1.806668490171432495e-01,-7.740069180727005005e-02,-1.875104308128356934e-01,-6.858017295598983765e-02,-3.541217446327209473e-01,-1.365437060594558716e-01,2.136247791349887848e-02,-1.032354831695556641e-01,6.099293753504753113e-02,4.762005433440208435e-02
-2.043073892593383789e+00,-2.219488620758056641e+00,8.496570587158203125e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.925986289978027344e-02,-7.813878938420920628e-20,5.662260204553604126e-02,6.752754747867584229e-02,-7.179974019527435303e-02,2.087907791137695312e-01,-1.289052367210388184e-01,-4.237104058265686035e-01,4.600648209452629089e-02,-6.372247636318206787e-02,-1.803830862045288086e-01,-7.555803656578063965e-02,-1.830249428749084473e-01,-7.016424834728240967e-02,-3.532515764236450195e-01,-1.389494240283966064e-01,2.412252500653266907e-02,-1.012392938137054443e-01,6.436569988727569580e-02,4.811988398432731628e-02
